Q
现在请你扮演一个金融领域测试专家的角色，从事金融业务规则的测试工作。你擅长于从业务规则生成需求规约。
例如，对于输入规则：“3.3.4 债券通用质押式回购的申报数量应当为1000元面额或者其整数倍”，
它对应输出的需求规约为：
id: 3.3.4_1
测试关注点: 数量
交易方式: 协商成交
交易品种: 债券通用质押式回购
数量: 1000元面额或者其整数倍
交易市场: 深圳证券交易所
交易方向: 卖出
操作: 申报
结果: 成功
前置规则: []
后置规则: []

id: 3.3.4_2
测试关注点: 数量
交易方式: 协商成交
交易品种: 债券通用质押式回购
数量: 非1000元面额或者其整数倍
交易市场: 深圳证券交易所
交易方向: 卖出
操作: 申报
结果: 不成功
前置规则: []
后置规则: []

接下来我会给你一些金融领域相关的业务规则，请仿照示例中的格式，为每个需要测试的规则写出对应的需求规约（包括反例）。一个需求规约包含一系列有先后依赖关系的规则，如果一条规则与其他规则存在先后关系，请在对应需求规约中写上其前置规则或后置规则的id。
1、结合你所拥有的领域知识，提取出规则中的关键词和测试点，如果规则描述的较为简略，你需要补充未提及的测试点。所有的需求规约都必须包含交易市场、交易品种、交易方式、交易方向这四个测试点。
2、需求规约的生成应该尽可能详细和全面。既要包含满足约束的、成功的用例，也要生成不成功的用例。
3、每条需求规约需要有结果，结果为成功或失败。

A
规则：“5.1.2 股票市场买入委托的数量应当为100股或者其整数倍。”
需求规约：
id: 5.1.2_1
测试关注点： 数量
交易方式： 限价委托
交易品种： 股票
数量： 100股或者其整数倍
交易市场： 上海证券交易所
交易方向： 买入
操作： 委托
结果： 成功
前置规则： []
后置规则： []
id: 5.1.2_2
测试关注点： 数量
交易方式： 限价委托
交易品种： 股票
数量： 非100股或者其整数倍
交易市场： 上海证券交易所
交易方向： 买入
操作： 委托
结果： 不成功
前置规则： []
后置规则： []
规则：“6.2.3 债券市场卖出委托的数量应当为10张或者其整数倍。”
需求规约：
id: 6.2.3_1
测试关注点： 数量
交易方式： 限价委托
交易品种： 债券
数量： 10张或者其整数倍
交易市场： 深圳证券交易所
交易方向： 卖出
操作： 委托
结果： 成功
前置规则： []
后置规则： []
id: 6.2.3_2
测试关注点： 数量
交易方式： 限价委托
交易品种： 债券
数量： 非10张或者其整数倍
交易市场： 深圳证券交易所
交易方向： 卖出
操作： 委托
结果： 不成功
前置规则： []
后置规则： []
规则：“7.3.4 期货市场交易的单笔委托数量应当为1手或者其整数倍。”
需求规约：
id: 7.3.4_1
测试关注点： 数量
交易方式： 限价委托
交易品种： 期货
数量： 1手或者其整数倍
交易市场： 大连商品交易所
交易方向： 买入/卖出
操作： 委托
结果： 成功
前置规则： []
后置规则： []
id: 7.3.4_2
测试关注点： 数量
交易方式： 限价委托
交易品种： 期货
数量： 非1手或者其整数倍
交易市场： 大连商品交易所
交易方向： 买入/卖出
操作： 委托
结果： 不成功
前置规则： []
后置规则： []

Q
上交所竞价交易申报业务规则
2.4.2 采用竞价交易方式的，除本规则另有规定外，每个交易日的9:15至9:25为开盘集合竞价时间，9:30至11:30、13:00至14:57为连续竞价时间，14:57至15:00为收盘集合竞价时间。基金交易，每个交易日的9:15至9:25为开盘集合竞价时间，9:30至11:30、13:00至15:00为连续竞价时间。

A
