2.2.1_1 主做市商对基准做市品种开展持续做市业务（以下简称基准做市业务）。
2.2.1_3 一般做市商对其自行选定的做市品种在一定时期内开展做市业务（以下简称一般做市业务）。
2.2.1_4 主做市商可以开展一般做市业务。
3.1.5_0 除本所另有规定外，本所对不同交易方式下的债券交易时间安排如下:(一)采用匹配成交方式的，每个交易日的9:15至9:25为开盘集合匹配时间，9:30至11:30、13:00至15:30为连续匹配时间；(二)采用点击成交、询价成交和协商成交方式的，交易时间为每个交易日的9:00至11:30、13:00至20:00；(三)采用竞买成交方式的，每个交易日的9:00至10:00为卖方提交竞买发起申报时间，10:00至11:30为应价方提交应价申报时间。
3.1.8_0 债券现券交易实行当日回转交易，投资者当日买入的债券可以在当日卖出。
3.2.3_0 经纪客户委托会员申报并达成债券交易的，应当及时向会员交付相应的债券或者资金。
3.2.4_0 经纪客户可以撤销委托的未成交部分。
3.2.5_0 委托指令被撤销和失效的，会员应当在确认后及时向经纪客户返还相应的资金或者债券。
3.3.2_0 本所交易系统在本规则第3.1.5条规定的交易时间内，接受相应的债券交易申报。
3.3.3_1 买卖申报和撤销申报经本所交易系统确认后方为有效。
3.3.4_0 除本所另有规定外，债券交易申报数量应当符合以下要求:(一)采用匹配成交方式的，债券现券的申报数量应当为10万元面额或者其整数倍，卖出时不足10万元面额部分，应当一次性申报；债券通用质押式回购的申报数量应当为1000元面额或者其整数倍；(二)采用点击成交方式的，申报数量应当为10万元面额或者其整数倍；(三)采用询价成交、竞买成交方式的，申报数量应当不低于10万元面额，且为1000元面额整数倍；(四)采用协商成交方式的，债券现券申报数量应当不低于1000元面额，且为100元面额整数倍；债券通用质押式回购申报数量应当为1000元面额或者其整数倍。
3.3.4_1 (五)债券交易的单笔最大申报数量不得超过100亿元面额。
3.3.6_0 采用匹配成交方式的，债券现券的申报价格最小变动单位为0.001元，债券通用质押式回购的申报价格最小变动单位为0.005元；采用其他交易方式的，债券交易的申报价格最小变动单位为0.0001元。
3.3.7_0 债券现券交易采用净价价格进行申报，本所另有规定采用全价价格进行申报的除外。
3.3.8_0 债券交易不实行价格涨跌幅限制。
3.3.9_2 债券交易申报中结算方式采用逐笔全额结算的，债券投资者可以选择结算周期。
3.3.9_3 债券现券交易结算日和债券回购交易的首次结算日不得晚于交易当日后的第三个交易日（含）。
3.3.9_5 15:30至20:00申报的债券交易，结算方式应当为逐笔全额结算，且债券现券交易结算日（或者债券回购交易的首次结算日）不得为交易当日。
3.3.10_0 采用匹配成交方式的，债券投资者以匿名方式进行申报；采用协商成交方式的，债券投资者以显名方式进行申报；采用其他交易方式的，债券投资者可以选择以匿名或者显名方式进行申报。
3.3.11_0 当日提交的债券交易申报当日有效，本所另有规定的除外。
3.3.11_1 采用匹配成交、点击成交交易方式的，债券交易申报不能一次全部成交时，未成交的部分当日继续有效。
3.3.12_0 除本规则规定的不接受撤销申报的时间段外，其他接受申报的时间内，未成交的申报可以撤销；部分达成成交的，未成交的部分可以撤销。
3.4.3_0 债券交易采用竞买成交方式，或者采用其他交易方式并以多边净额结算方式结算的，经交易系统确认成交后不得解除交易或者改变交易结果，但存在本规则第8.1条规定的情形除外。
4.1.2_3 集合匹配期间未成交的交易申报，自动进入连续匹配。
4.1.3_1 限价申报按照优于或者等于限定的价格进行债券交易。
4.1.5_0 开盘集合匹配阶段，债券现券的有效申报价格范围为前收盘价的上下30%。
4.1.5_1 连续匹配、盘中临时停牌复牌集合匹配阶段，国债、地方政府债券、政府支持债券、政策性金融债等的有效申报价格范围为匹配成交最近成交价的上下10%，其他债券的有效申报价格范围为匹配成交最近成交价的上下20%。
4.1.5_3 债券上市首日，以该债券的发行价作为前收盘价。
4.1.5_4 开盘集合匹配阶段，债券通用质押式回购的有效申报价格范围为前收盘价的上下100%。
4.1.5_5 连续匹配、盘中临时停牌复牌集合匹配阶段，债券通用质押式回购的有效申报价格不得高于匹配成交最近成交价的100个基点。
4.1.5_7 当日无交易的，以前收盘价作为最近成交价。
4.1.5_8 有效申报价格范围计算结果按照四舍五入原则取至价格最小变动单位。
4.1.5_9 有效申报价格范围上限或者下限与最近成交价之差的绝对值低于价格最小变动单位的，以最近成交价增减一个该债券的价格最小变动单位为有效申报价格范围。
4.1.6_0 超过有效申报价格范围的申报为无效申报。
4.1.8_0 集合匹配时，成交价格的确定原则为:(一)可实现最大成交量的价格；(二)高于该价格的买入申报与低于该价格的卖出申报全部成交；(三)与该价格相同的买方或者卖方至少有一方全部成交。
4.1.8_2 集合匹配阶段的所有交易以同一价格成交。
4.1.9_0 连续匹配时，成交价格的确定原则为:(一)最高买入申报与最低卖出申报价格相同，以该价格为成交价；(二)买入申报价格高于集中申报簿当时最低卖出申报价格时，以集中申报簿当时的最低卖出申报价格为成交价；(三)卖出申报价格低于集中申报簿当时最高买入申报价格时，以集中申报簿当时的最高买入申报价格为成交价。
4.1.10_0 每个交易日9:20至9:25的开盘集合匹配阶段，本所交易系统不接受匹配成交的撤销申报。
4.2.4_0 报价方可以设置申报数量全额成交要求。
4.2.5_0 报价方可以在发出报价时设置每次仅显示部分申报数量（以下简称显示数量），单笔成交的数量不超过显示数量。
4.2.5_1 设置的显示数量完全成交后，继续显示设置的显示数量和剩余申报数量的孰低值，直至申报数量完全显示并成交。
4.2.5_2 设置的显示数量应当符合本规则第3.3.4条关于点击成交申报数量的相关规定。
4.2.6_0 受价方按照报价方报出的交易方向的相反方向，输入拟接受的申报数量。
4.2.6_1 该数量应当符合本规则第3.3.4条、第4.2.4条及第4.2.5条的相关规定。
4.2.6_2 点击成交按受价方输入的数量，按报价方所报价格、结算方式、结算周期等其他申报要素成交。
4.2.7_0 报价方发出报价后，未成交部分，可以修改价格和数量等报价要素。
4.2.8_0 结算方式为多边净额结算，并且符合以下条件的报价，报价方可以选择在本所连续匹配阶段的整时点按照连续匹配的相关规定参与限价申报的匹配成交:(一)报价面向全市场发送；(二)申报价格、申报数量符合匹配成交的相关规定；(三)未设置全额成交要求；(四)本所规定的其他条件。
4.3.2_0 询价方可以向做市商或者其他债券交易参与人发送询价请求。
4.3.3_0 被询价方根据询价请求要素，按照询价请求交易方向的相反方向，对询价请求进行回复。
4.3.4_0 询价方选择询价回复并确认后，交易按询价方确认的数量、价格、结算方式与结算周期成交。
4.3.5_0 询价方可以撤销未成交的询价请求，被询价方可以撤销未成交的询价回复。
4.3.5_1 询价请求被撤销后，针对该询价的回复也随之自动撤销。
4.3.6_0 债券投资者可以向全市场或者部分债券投资者发送意向申报，意向申报不可直接确认成交。
4.3.6_1 收到意向申报的债券投资者可以通过询价成交、协商成交等方式与意向申报发出方达成交易。
4.4.2_1 采用单一主体中标方式的，由最优出价的应价方按其应价价格、该笔竞买的全部申报数量成交。
4.4.2_3 采用单一价格中标方式的，所有中标的应价申报都以边际价格成交。
4.4.2_4 采用多重价格中标方式的，所有中标的应价申报都以其各自的应价价格成交。
4.4.3_0 卖方应当向本所提前预约竞买，并确定竞买日。
4.4.4_0 竞买日前，卖方可以修改竞买预约要素或者取消预约。
4.4.5_0 竞买日前，卖方应当根据预约情况通过本所向市场发布竞买要素信息。
4.4.6_0 卖方应当于竞买日通过交易系统提交竞买发起申报。
4.4.7_0 在应价申报时间内，债券投资者可以作为应价方提交应价申报。
4.4.8_1 采用单一主体中标方式的，由最优出价的应价方按该笔竞买的全部数量成交。
4.4.8_2 若最优出价存在多笔应价申报的，按时间优先原则成交。
4.4.8_3 采用多主体中标方式的，交易系统将各有效应价申报按价格从优到劣排序，并汇总应价申报累计数量。
4.4.8_4 应价申报累计数量未达到最低成交总量的，所有应价申报均不能达成成交。
4.4.8_5 应价申报累计数量不低于最低成交总量但未达到竞买总量的，应价申报的最低价格为边际价格，全部应价申报均按其申报数量达成成交。
4.4.8_6 应价申报累计数量达到竞买总量的，以达到竞买总量的价格为边际价格。
4.4.8_7 价格优于边际价格的应价申报全部成交，成交数量为相应的应价申报数量。
4.4.8_8 价格等于边际价格的应价申报部分或者全部成交，成交数量以各应价申报数量为权重按舍去法进行边际中标量的初次分配。
4.4.8_9 初次分配完成后，若有剩余尾量，则遵循时间优先原则进行尾量分配。
4.4.10_0 在应价方提交有效的应价申报前，卖方申请并经本所认可后，可以撤销竞买发起申报。
4.4.10_1 采用单一主体中标方式的，应价申报不可撤销。
4.4.10_2 采用多主体中标方式的，应价申报可以在应价申报时间截止前撤销。
4.4.11_0 本规则3.1.5条规定的竞买时间内临时停市的，当日所有债券竞买不再进行。
4.4.11_1 本规则3.1.5条规定的竞买时间内债券停牌的，当日该债券竞买不再进行。
4.5.4_1 交易一方将协商一致的交易要素通过交易系统发送给交易对手方，经交易对手方确认后，由交易系统确认成交。
4.5.5_0 做市商或者本所认可的其他机构与不同对手方针对同一交易品种达成两笔数量相同但交易方向相反的交易意向的，可以将两笔交易合并向交易系统申报，申报要素应当符合本规则第4.5.3条的规定。
4.5.5_1 合并申报经前述两笔交易的对手方分别确认后，由交易系统确认成交。
5.1.4_0 债券在9:25前临时停牌的，当日复牌时对已接受的申报实行开盘集合匹配，复牌后继续当日交易。
5.1.4_1 债券在9:30及其后临时停牌的，当日复牌时对已接受的申报实行盘中临时停牌复牌集合匹配，复牌后继续当日交易。
5.1.4_2 匹配成交方式临时停牌期间，可以申报，也可以撤销申报。
5.1.4_3 点击成交、询价成交、协商成交方式临时停牌期间，本所不接受相应的交易申报，但接受符合要求的撤销申报。
5.1.5_0 债券全天停牌的，停牌期间，交易系统不接受相关交易申报。
5.2.1_0 设定转股、换股条款的债券，债券持有人在转（换）股期内可以通过交易系统或者本所认可的其他方式进行转（换）股申报，将持有的债券转换为相应的股票或者股份。
5.2.2_0 设定投资者回售选择权的债券，回售条件满足时，债券持有人在回售申报期内可以通过交易系统或者本所认可的其他方式进行债券回售申报，将持有的债券全部或者部分回售给发行人，回售申报当日可以撤单。
5.2.2_1 回售申报期内，债券持有人未做回售申报或者撤销回售申报的，视为继续持有债券。
